,timedate,p_demand,p_supply,q_demand,q_supply
0,2016-07-01 00:00:00,42.8,695.549,3.15789,1.68
1,2016-07-01 00:05:00,12.8882,657.671,3.15789,1.88586
2,2016-07-01 00:10:00,19.5,656.659,3.15789,1.93733
3,2016-07-01 00:15:00,19.5,656.659,3.15789,2.14319
4,2016-07-01 00:20:00,19.3427,656.857,3.15789,2.19466
5,2016-07-01 00:25:00,19.3542,656.951,3.15789,2.19466
6,2016-07-01 00:30:00,19.3972,657.004,3.15789,2.19466
7,2016-07-01 00:35:00,19.4514,657.026,3.15789,2.19466
8,2016-07-01 00:40:00,19.4958,657.042,3.15789,2.19466
9,2016-07-01 00:45:00,19.5324,657.054,3.15789,2.19466
10,2016-07-01 00:50:00,19.5523,657.042,3.15789,2.19466
11,2016-07-01 00:55:00,19.5685,657.031,3.15789,2.19466
12,2016-07-01 01:00:00,19.5817,657.023,3.15789,2.19466
13,2016-07-01 01:05:00,19.5519,657.009,3.15789,2.40052
