,end_time,start_time,unresp_load,export_capacity,transformer_interval_id,q,transformer_id,import_capacity
0,2021-07-22T11:43:00,2021-07-22T11:42:00,0.0,0.0,163,9.848,1,1006.67
1,2021-07-22T11:44:00,2021-07-22T11:43:00,0.0,0.0,164,3.736,1,924.676
2,2021-07-22T11:45:00,2021-07-22T11:44:00,0.0,0.0,165,6.791,1,943.346
3,2021-07-22T11:46:00,2021-07-22T11:45:00,0.0,0.0,166,6.791,1,1035.16
4,2021-07-22T11:47:00,2021-07-22T11:46:00,0.0,0.0,167,6.79,1,991.604
5,2021-07-22T11:48:00,2021-07-22T11:47:00,0.0,0.0,168,9.849,1,1038.0
6,2021-07-22T11:49:00,2021-07-22T11:48:00,0.0,0.0,169,9.849,1,951.89
7,2021-07-22T11:50:00,2021-07-22T11:49:00,0.0,0.0,170,6.787,1,1019.19
8,2021-07-22T11:51:00,2021-07-22T11:50:00,0.0,0.0,171,9.849,1,1083.23
9,2021-07-22T11:52:00,2021-07-22T11:51:00,0.0,0.0,172,6.786,1,944.185
10,2021-07-22T11:53:00,2021-07-22T11:52:00,0.0,0.0,173,6.785,1,993.916
11,2021-07-22T11:54:00,2021-07-22T11:53:00,0.0,0.0,174,6.784,1,909.37
12,2021-07-22T11:55:00,2021-07-22T11:54:00,0.0,0.0,175,6.783,1,982.371
13,2021-07-22T11:56:00,2021-07-22T11:55:00,0.0,0.0,176,6.783,1,1041.76
14,2021-07-22T11:57:00,2021-07-22T11:56:00,0.0,0.0,177,6.782,1,1073.49
15,2021-07-22T11:58:00,2021-07-22T11:57:00,0.0,0.0,178,9.849,1,1002.85
16,2021-07-22T11:59:00,2021-07-22T11:58:00,0.0,0.0,179,9.85,1,976.456
17,2021-07-22T12:00:00,2021-07-22T11:59:00,0.0,0.0,180,6.78,1,922.943
18,2021-07-22T12:01:00,2021-07-22T12:00:00,0.0,0.0,181,6.778,1,1082.74
