,start_time,q_clear,p_exp,p_clear,end_time,market_id,p_dev,alpha,market_interval_id
0,2021-07-22T11:42:00,6.778,1.0,0.11,2021-07-22T11:43:00,1,0.0,1.0,3
1,2021-07-22T11:42:00,0.0,0.703333,0.0,2021-07-22T11:43:00,1,0.176022,1.0,4
2,2021-07-22T11:42:00,6.778,0.5275,0.11,2021-07-22T11:43:00,1,0.224769,1.0,5
3,2021-07-22T11:42:00,0.0,0.444,0.0,2021-07-22T11:43:00,1,0.207704,1.0,6
4,2021-07-22T11:42:00,6.778,0.37,0.11,2021-07-22T11:43:00,1,0.200467,1.0,7
5,2021-07-22T11:42:00,0.0,0.332857,0.0,2021-07-22T11:43:00,1,0.180106,1.0,8
6,2021-07-22T11:42:00,6.778,0.29125,0.11,2021-07-22T11:43:00,1,0.169711,1.0,9
7,2021-07-22T11:42:00,0.0,0.271111,0.0,2021-07-22T11:43:00,1,0.154099,1.0,10
8,2021-07-22T11:42:00,6.778,0.244,0.11,2021-07-22T11:43:00,1,0.145304,1.0,11
9,2021-07-22T11:42:00,0.0,0.231818,0.0,2021-07-22T11:43:00,1,0.133579,1.0,12
